Scholarship Name,Provider,Amount,Closing Date,Degree(s),Status,Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBC Future Launch Scholarship,Royal Bank of Canada (RBC),"$1,500",N/A,N/A,Featured,https://universitystudy.ca/scholarship/13663/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$2,500 SGI Corporate Scholarship",SGI Canada,N/A,N/A,N/A,N/A,https://universitystudy.ca/scholarship/12675/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Yorkshire Valley Farms Canadian Eco-Scholar Award,Yorkshire Valley Farms,"One $5,000, Two $2,000, One $1,000 third place award",2/6/2025,N/A,N/A,https://universitystudy.ca/scholarship/12724/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2SLGBTQI+ Community Leader Scholarship,Export Development Canada,"$5,000",4/30/2025,N/A,N/A,https://universitystudy.ca/scholarship/14725/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.O. Putnam Memorial Scholarship,Institute of Industrial and Systems Engineers,"$1,300",1/31/2026,Bachelor,Open,https://universitystudy.ca/scholarship/12364/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAE Foundation Native American Scholarship,American Association of Airport Executives,"$2,000",3/14/2025,"Bachelor, Graduate degree",N/A,https://universitystudy.ca/scholarship/12336/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAE Foundation Women in Aviation Scholarship,American Association of Airport Executives,"$5,000",3/14/2025,"Bachelor, Graduate degree",N/A,https://universitystudy.ca/scholarship/12337/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abel Wolman Fellowship,American Water Works Association,"$30,000",12/18/2025,Phd,Open,https://universitystudy.ca/scholarship/12338/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Scholarship,"Society for Mining, Metallurgy, and Exploration","$5,000",4/14/2026,"Bachelor, Graduate degree",N/A,https://universitystudy.ca/scholarship/15084/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accredited Airport Executive (A.A.E.) Scholarship,American Association of Airport Executives,"$2,000",3/14/2025,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/12339/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adele Collins Mason ACE Scholarship,Pi Beta Phi Foundation,N/A,2/14/2026,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor",Opening soon,https://universitystudy.ca/scholarship/12590/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adele Collins Mason Scholarship,Pi Beta Phi Foundation,N/A,2/14/2026,Bachelor,Opening soon,https://universitystudy.ca/scholarship/12340/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Basic Education Transition Award,BC Scholarship Society,"$5,000",4/29/2025,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/14937/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Basic Education Transition Awards,BC Scholarship Society,"$5,000",4/30/2025,"Applied bachelor, Apprenticeship program, Associate degree, Bachelor, Certificate, Diploma, Professional degree, Technical diploma, Vocational technical",N/A,https://universitystudy.ca/scholarship/12743/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AECOM Scholarship,American Water Works Association,"$5,000",12/18/2025,Graduate degree,Open,https://universitystudy.ca/scholarship/12341/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO Real Change Scholarship for Social Justice,AEO,"$10,000",3/10/2025,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/12342/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgCareers.com Feed Your Future Scholarship,AgCareers.com,"$1,000",11/29/2024,N/A,N/A,https://universitystudy.ca/scholarship/13297/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ages Foundation Diversity Impact Bursary,CIP/ICU Planning Student Trust Fund,"$5,000",10/9/2025,"Bachelor, Graduate degree",N/A,https://universitystudy.ca/scholarship/15051/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
